en,cht,pos,description
Caina,凱恩納,位面,地獄第八層
Cairnlands,墓碑平原,城市,
Caldamin,卡爾達敏,城市,安多安
Caligni,卡利尼,,
Calignos,卡利格諾斯,,
Calikang,六臂神衛,怪物,
Caliphas,卡利法斯,城市,烏斯塔拉夫首都
Calisro Benarry,卡莉斯洛·本納瑞,人名,冒險隊長
Calistria,卡莉絲翠,神祇,核心神
Calistril,卡莉茲翠月,時間,二月
Call Lightning,召雷術,法術,CRB
Call Lightning Storm,召喚雷暴,法術,CRB
Caller in Darkness,黑暗呼喚者,怪物,B5
Calling,呼喚,術語,子學派
Calm Animals,安撫動物,法術,CRB
Calm Emotion,安定心神,法術,CRB
Calm Emotions,安定心神,法術,CRB
Calm water,靜水,術語,游泳
Calming Touch,鎮靜之觸,領域能力,
Calphiak Mountain,考菲尼亞克山脈,地點,瓦瑞西亞
Caltrops,鐵蒺藜,物品,
Camel,駱駝,動物,CRB
camel cavalry,駱駝騎兵,組織,
Camouflage,偽裝,職業能力,
Canaroden,奧羅登運河,地點,西冠城運河
Canayven Heidmarch,卡奈文·海德瑪,人物,
Candlemere,燭湖,地名,河域諸國地名
Candlestone Caves,燭石洞,城市,安多安
Cannibal Isles,食人族群島,地點,鐐銬島
Cannibal’s Grove,食人林,地點,
Cannon,大炮,物品,火器
Canorate,坎諾雷特,城市,摩爾蘇恩
Canorus,卡諾魯斯,地點,阿卡迪亞
Canterwall,坎特沃,地點,烏斯塔拉夫
Cantrips,戲法,職業能力,
Cape Erebus,厄瑞波斯海角,地點,切利亞斯
Capsize,傾覆,術語,通用怪物能力
Captain,船長,怪物,GMG
Captain Kerdak Bonefist,科達克·骨拳船長,人物,"颱風王,海盜議會的首席"
Captain Seferi,賽菲麗船長,人物,茲伊瑪的私掠船長
Captain Thaum Gauntwood,塔姆·枯樹司令官,人物,永駐堡的现任领导者
Caramida Keep,卡拉米達要塞,地點,
Caraniel Glintleaf,卡蘭妮爾·閃葉,人物,AP#107
Caravan Street,篷車街,地點,塞娜拉
carbuncle,卡班克爾,怪物,B3
Careful Speaker,言語謹慎,術語,專長
Carellia Thrune,卡蕾莉亞·特魯恩,人物,特魯恩家族的第四任君主
caretaker,看守者,,
Carmilla Caliphvaso,卡米拉·卡利法瓦索,人物,雷內斯·奧德蘭的姑母
Carnasia,卡納西亞,術語,瓦瑞西亞語中的惑控系
Carpenden,卡朋登,城市,安多安
Carpenden Plains,卡朋登平原,地點,安多安
Carriage,四輪馬車,載具,
Carrion Hill,腐肉山,城市,烏斯塔拉夫
Carrion King,腐肉霸王,人物,蒼白山的統治者
Cart,二輪馬車,載具,
Caruskei,卡魯斯凱,地點,奇奧尼
Caryatid Column,女像柱,怪物,B3
Casal,喀索,人物,海迪蘭·塔恩的表弟
Casarus Vitallain,卡薩魯斯·維塔蘭,人物,西冠城
Casmaron,卡斯瑪隆,大陸,格拉利昂
Casnoriva,卡斯諾里瓦,城市,烏斯塔拉夫
Cassock of the Black Monk,黑教士法衣,裝備,
Cassomir,卡索米爾,城市,塔爾多
cast,施放,術語,施放法術
cast defensively,防禦式施法,術語,
Castellan of the Bandeshar,班德夏爾之主,稱號,阿奇泰克的稱號
Caster Level,施法者等級,術語,有時會簡稱CL
Castigate,嚴加斥責,法術,APG
Casting Defensively,防禦式施法,術語,
Castle Andachi,安達契堡,地名,烏斯塔拉夫
Castle di Lauro,勞羅城堡,地點,塞娜拉
Castle Everstand,永駐堡,城市,終焉之牆 由萬象無常牌制造的城堡
Castle Firrine,費琳堡,城市,終焉之牆
Castle Gate,城堡門,地點,長野鎮
Castle Isle,城堡島,地點,
Castle Kronquist,科隆奇斯特要塞,城市,烏斯塔拉夫
Castle Odranto,奧德蘭托堡,城市,烏斯塔拉夫
Castle of the Captive Sun,囚日城堡,,
Castle Overwatch,守望堡,城市,警醒城建筑
Castle Penatha,盤柰瑟堡,地名,烏斯塔拉夫
Castle Urion,烏利恩城堡,城市,紐梅利亞
Castrovel,卡斯綽維,地點,精靈的星球
Castrovin Sea,卡斯卓汶海,地點,卡斯瑪隆
Caswella Runder,卡斯維拉·蘭德,人物,地獄復仇AP#103
"Cat, Big",大型貓科動物,動物,CRB
"Cat, Small",小型貓科動物,動物,CRB
Cat’s Grace,貓之優雅,法術,CRB
"Cat’s Grace, Mass",群體貓之優雅,法術,CRB
Catastrophe,天災子域,術語,牧師領域
Catastrophe Subdomain,天災子域,術語,牧師領域
Catch Off-Guard,隨手武器,專長,CRB
Catfolk,貓人,術語,生物亞種
Catharaxion,卡薩拉西翁,人物,AP#108
Cathedral of Bone,白骨大教堂,地點,尼斯羅切
Cathedral of Claws,利爪大教堂,地點,圖維亞
Cathedral of Embodied Wisdom,智慧體現大教堂,,
Cathedral of Epiphenomena,萬疫大教堂,地點,蓋布
Cathedral of Exquisite Agony,致苦大教堂,地點,奈多
Cathedral of Failure,失敗者聖殿,建筑,艾巴薩羅姆
Cathedral of Obalas,奧巴拉斯大教堂,地點,精怪之霜
Cathedral of Sancta Iomedae,聖艾奧梅黛大教堂,地點,警醒城
Cathedral of the Fallen,失敗者聖殿,建筑,艾巴薩羅姆
Caught Off-Guard,隨手武器,專長,CRB
Cauldheart,考德哈特,地點,烏斯塔拉夫
Cauldron of Overwhelming Allies,海量盟友坩堝,裝備,
Cause Fear,驚恐術,法術,CRB
Cavalier,騎士,術語,基礎職業
cavalier’s charge,騎士衝鋒,術語,職業能力
cave fisher,穴釣蟹,怪物,B1
Caves,洞穴子域,術語,牧師領域
Caves of the Craven,懦夫之穴,地點,瓦瑞西亞
Caves Subdomain,洞穴子域,術語,牧師領域
Cayden Cailean,凱登·凱利恩,神祇,核心神
Cayden’s Hall,凱登廳,建筑,艾巴薩羅姆
CE,混亂邪惡,縮寫,混邪
Celefin of Pangolais,帕格萊斯的塞勒芬,,
Celestial,天界語,语言,
Celestial,天界神族,稱號,善良外層位面生物的統稱
Celestial,天界血統,職業能力,
Celestial Resistances,天界抗性,職業能力,
Celwart Nobes,凱爾沃特·諾布斯,人物,地獄復仇AP#103
Celwynvian,賽爾溫維安,城市,瓦瑞西亞
Centaur,人馬,怪物,B1
Centianima,死靈蜈蚣,怪物,
Century Root,世紀之根,地點,奇奧尼
Cerberi,三頭地獄犬,怪物,B3
Ceremonial Pyre,火葬儀式,能力,摩洛克神恩
Cerulean Void,蔚藍虛空,地點,大漩渦中的海洋
Cerush,塞魯士,人物,卡蒂亞第一任總督
Cesca,塞斯卡,城市,烏斯塔拉夫
Cettigne,塞提格內,城市,摩爾蘇恩
Ceustodaemon,僕役邪魔,怪物,B2
CG,混亂善良,縮寫,混善
Cha,魅力,術語,規則中的縮寫
Chadoth’s Tooth,察多斯之牙,地點,蒸氣之海
Chain Coil,鏈環相扣,職業能力,
Chain Lightning,連環閃電,法術,CRB
Chain Shirt,鏈甲衫,防具,
"Chain, spiked",刺鏈,武器,
Chained Maiden,鎖鏈少女,稱號,希瓦斯卡的稱號(帶The)
Chainmail,鏈甲,物品,CRB
Chainmail,鏈甲,防具,
Chains of Freedom,自由鐐銬號,物品,原切利亞斯運奴船
Chairman Durgan Rane,杜爾甘·雷恩主席,人物,伽爾特
Chairman of the Revolutionary Council,革命委員會主席,稱號,伽爾特的首腦
Chakikoth Isle,柴基寇斯島,地點,蒸氣之海
Chalkstone River,粉筆石河,地點,河域諸國
Challenge of Sky and Heaven,諸天涅槃戰,事件,紮摩誄的競技比賽
Chalshotur Qasr,查索圖爾·誇斯爾,城市,卡利吉特的地點
Chamber of Heaven,天堂室,地點,塔卜薩高
Chamber of Truths,真相室,地點,鼎亞堡
Champion of the Faith,信仰先鋒,變體,戰爭祭司
Champions of Corruption,《穢邪勇士》,書名,CoC
Changdo,昌都,地點,渤驪
Change Shape,變形,術語,通用怪物能力
Changestaff,化棍法,法術,CRB
channel destruction,引導毀滅,術語,怪物能力
Channel Energy,引導能量,術語,
Channel Resistance,引導抗力,術語,通用怪物能力
Channel Smite,導能打擊,專長,CRB
Chaos,混亂領域,術語,牧師領域
Chaos Blade,混亂之刃,領域能力,
Chaos Domain,混亂領域,術語,牧師領域
Chaos Hammer,混亂之錘,法術,CRB
Chaos-Aligned,混亂陣營,術語,位面特性專用詞彙
Chaotic,混亂,術語,生物亞種；陣營
chaotic evil,混亂邪惡,術語,陣營
chaotic good,混亂善良,術語,陣營
Chap “Old Man” Dortort,「老爹」查普·多托特,人物,多托特牧場的主人
Chapel of Guilts,罪惡教堂,地名,烏斯塔拉夫
Chaplain,隨軍牧師,稱號,光復騎士團中的祭司
Chaplain-Major Gardel Vargrinnar,隨軍牧師長加德爾·瓦格林納爾,人物,AP#108
Character Traits Web Enhancement,《角色背景網絡增強版》,書名,免費下載的背景文檔
charau-ka,查拉烏卡猿族,組織,類人猿，魯薩澤克的手下
charge,衝鋒,術語,戰技
Charisma,魅力,術語,屬性值
Charisma modifier,魅力調整值,術語,
Charm,魅惑領域,術語,牧師領域
Charm,魅惑,術語,子學派
Charm Animal,魅惑動物,法術,CRB
Charm Domain,魅惑領域,術語,牧師領域
Charm Monster,魅惑怪物,法術,CRB
"Charm Monster, Mass",群體魅惑怪物,法術,CRB
Charm Person,魅惑人類,法術,CRB
Charming Smile,回眸一笑,領域能力,
charnel colossus,藏骸巨像,,
Charnel Run,沙內爾流,地點,特里亞克薩斯
Charon,卡戎,神祇,天啟騎士 死亡
Chartaigne of the Cathedral,大教堂的查塔尼,,
Chastel,查瑟爾,城市,烏斯塔拉夫
chasuble,十字褡,物品,一種服裝
Chateau Douleurs,鐸勒斯堡,城市,烏斯塔拉夫
Chauxen,查克森,國家,伽倫德
Chavali River,查瓦利河,地點,瓦瑞西亞
Cheapside,貧民窯,地點,艾格利安
Cheapside Docks,便民碼頭,地點,凍枯城
Check,檢定,術語,
Cheetah,獵豹,動物,CRB
Chelaxian,切利亞斯人,民族,
Chelia Duvenich,切利亞·杜維尼奇,人物,
Cheliax,切利亞斯,國家,
"Cheliax, Empire of Devils",《切利亞斯，魔鬼帝國》,書名,玩家伴侶
"Cheliax, The Infernal Empire",《切利亞斯，煉獄帝國》,書名,戰役設定集
Chelish,切利亞斯的,形容詞,
Chelish diva,切利亞斯歌姬,變體,吟遊詩人
Chelish murder play,切利亞斯謀殺劇,事件,血腥娛樂活動
Chemnosit,切姆諾斯特,怪物,洛瓦古格之裔
Chernasardo,切爾納薩多,地點,涅瑪薩斯
Cherni Oslonovich,切爾尼·奧斯洛諾維奇,人物,
Chesed,柴斯德,城市,【紐梅利亞】
Chhaya,西哈亞,人物,烏荼羅公主
chiardmars,奇亞德瑪爾斯,動物,在奈多阿特倫牧區生活的迅捷野馬
Child-God Walkena,「童神」瓦爾克納,神祇,在瑪扎利
Children of the Upper Reach,上游之子,組織,艾奧梅黛武僧修道會
Childthief lsland,竊童島,地點,凍枯城
Chill Metal,凍寒金屬,法術,CRB
Chill Shield,冷焰護盾,法術,
chill touch,凍寒之觸,法術,CRB
Chillbane Fever,凍毒熱,疾病,疾病
Chillbane Shakes,凍毒癥,疾病,疾病
Chillblight,凍枯城,城市,伊利森
Chimera,奇美拉,怪物,B1
Chimera Cove,奇美拉谷,城市,安多安
Chiron,齊隆,城市,卡塔佩什
Chitterwood,尖叫森林,地點,依斯嘉
choke pear,酷刑梨,物品,
Choking Death,窒死病,事件,席捲艾奧巴瑞亞的大瘟疫
Choking Plague,窒息癥,疾病,
Choking Tower,窒息塔,城市,紐梅利亞
Choral River,卓拉爾河,城市,布雷斡
Choral the Conqueror,「征服者」卓拉爾,人物,艾奧巴瑞亞軍閥；布雷斡的建立者
Chorus-of-Guises,眾生像,人物,AP#108
Chromatic Dragon,彩色龍,怪物,
Chronicle of the Righteous,《正義編年史》,書名,CotR
Church Grim,教堂魅影,怪物,《完美恐怖卷冊》
Churlwood,賤民之林,地點,瓦瑞西亞
Ciaciscica Bittertongue,恰西西卡·苦舌,人物,地獄復仇AP#103
Cimri Staelish,西姆莉·斯泰利什,人物,地獄復仇AP#103
Cinder Furnace,灰燼熔爐,地點,末日荒原
Cinderlands,灰燼之地,地點,瓦瑞西亞
Cinerarium,骨匣,地點,蓋布
Circle of Death,死亡法陣,法術,CRB
Circle of Flame,烈焰之環,組織,傭兵團
Circle of Twice-Honored Women,雙倍榮耀女士群像,建筑,奧斯布的建筑
Citadel Altaerein,阿爾特艾因堡,城市,依斯嘉
Citadel Ba’al,巴爾堡,地點,瑪爾伯格
Citadel Demain,迪梅堡,城市,切利亞斯
Citadel Dinyar,鼎亞堡,城市,依斯嘉
Citadel Enferac,安弗雷克堡,城市,切利亞斯；護門騎士團
Citadel Gheisteno,基斯丹諾堡,城市,切利亞斯；奈多，十字架騎士團的堡壘
Citadel Gheradesca,西拉德斯卡堡,城市,切利亞斯
Citadel Krane,喀雷恩堡,城市,切利亞斯
Citadel of Flame,熾焰堡,城市,卡蒂亞
Citadel of the Alchemist,煉金術師堡,城市,圖維亞
Citadel Ordeial,奧戴爾堡,地點,長槍騎士團要塞
Citadel Rivad,瑞渥達堡,城市,切利亞斯
Citadel Vraid,維拉德堡,城市,瓦瑞西亞
City at the Center of the World,世界中心城,稱號,艾巴薩羅姆的稱號
City of Brass,黃銅城,城市,火元素位面的首都
City of Brimstone,硫磺城,城市,特里亞克薩斯
City of Cyphers,密文之城,稱號,謎語港
City of Glory’s Return,光復之城,稱號,西冠城的稱號之一(光復騎士團治下)
City of Nine Stars,九星之城,稱號,西冠城的稱號之一(古代)
City of the Reed People,葦民之城,稱號,泰法的別稱
City of Thorns,荊棘之城,稱號,艾格利安的稱號
City of Triangles,金字塔之城,稱號,安的稱號
City of Twilight,暮光之城,稱號,西冠城的稱號
City of Wrath,憤怒之城,稱號,辛-巴克拉罕
CL,施法者等級,術語,縮寫，用在數據中，例：(施法者等級3級，專注+5)
Claes,克萊斯,城市,安多安
Claimer,索取者,稱號,卡祖格的稱號
Clairaudience/Clairvoyance,銳耳術/鷹眼術,法術,CRB
clan,部落,術語,怪物圖鑑中組織數量用詞
Clara Greklesten,克拉拉·格雷克萊斯滕,人物,AP#107
Clarity Pyres,明焚儀式,名词,刑架騎士團定期公開舉行的焚燒禁書儀式
Class,職業,術語,
Class Abilities,職業能力,術語,
Class Features,職業特性,術語,
Class Skill,本職技能,術語,
Classic Horrors Revisited,《經典恐怖再臨》,書名,
Classic Monsters Revisited,《經典怪物再臨》,書名,
Claw,爪抓,術語,通用怪物能力
Claw Point,利爪角,地點,布雷斡
Clawfoot Quarter,爪足區,地點,紅牙鎮
Claws,利爪,職業能力,
Clear Mind,心如堅鋼,狂暴之力,
Cleave,順勢斬,專長,
Cleft Head,裂頭氏族,組織,貝爾克澤恩
Clenched Fist,金剛拳,法術,CRB
Cleric,牧師,術語,核心職業
Clerk’s Cloister,牧師的隱寺,地點,艾格利安
Cliffs of Kusha-ta-Pahk,庫沙-塔-帕克懸崖,地點,奧斯利昂
Climb,攀爬,術語,技能
Cloak of Chaos,混亂披風,法術,CRB
cloak of dreams,夢之衣,法術,APG
Cloak of the Yeti,雪人披風,裝備,
Cloaker,蟄伏偽怪,怪物,B1
Clockwork,發條生物,怪物,怪物類型；模板
Clockwork Cathedral,發條大教堂,地點,艾巴薩羅姆
Clockwork Traits,發條特性,術語,怪物特性
clonal tree stride,融身入森,怪物能力,地獄復仇AP#103
Clone,克隆術,法術,CRB
Close,貼身,武器組,
Close,近距,術語,法術範圍
Closest Creature,最近的生物,術語,
Cloud,云子域,術語,牧師領域
Cloud Subdomain,云子域,術語,牧師領域
Cloudkeep Aerie,收雲巢,地點,寒心城
Cloudkill,死雲術,法術,CRB
Cloudreaver Keep,掠雲城堡,城市,阿肯斯塔大公國
Clover’s Crossing,三葉草渡口,地點,烏斯塔拉夫
Club,木棒,武器,CRB
Clumsy,笨拙,術語,飛行機動性
CMB,CMB,術語,戰技攻擊
CMD,CMD,術語,戰技防禦
CN,混亂中立,縮寫,混中
Coalblack,煤黑區,地點,
Coast of Graves,墓穴海岸,地點,奧斯利昂
Coastal Cairns,碑石灘,地點,拉茲密安
Cocytus,庫凱圖斯,位面,地獄第七層
Code of Conduct,行為準則,職業能力,
Coffin Feast,靈柩盛宴,職業能力,
Coils of Ydersius,耶德希斯之環,組織,蛇人的組織
coins,硬币,術語,白金幣、金幣、銀幣和銅幣的統稱
Cold,寒系,術語,生物亞種；
Cold,寒冷,術語,能量類型
Cold,寒帶,術語,怪物棲息地類型
Cold Aura,寒冷靈光,術語,
Cold Fey,寒地精怪,怪物,怪物類型；模板
Cold Hostel,寒冷旅社,地點,寒心城
Cold Iron,寒鐵,特殊材料,
Cold Queen Waters,冷皇后水域,地點,羅德
Cold Resistance,寒冷抗性,領域能力,
Cold Sisters,寒冷姐妹會,組織,伊利森
Coldwater,寒水區/冷水鎮,地點,寒心城/王權省
Cole Ravnagask,寇爾·拉瓦納迦斯科,人物,阿布達教會的大銀行巨頭（Prince-Archbanker），布拉哥薩城的統治者
Collapsed Era,崩潰時代,時間,矮人歷史時代之一
Collapsed Halls,塌陷之廳,城市,切利亞斯
Colonel Holgr Yelizaveta,霍爾格·伊莉莎薇塔上校,人物,
Color Spray,七彩噴射,法術,CRB
Colossal,超巨型,術語,體型
Colson Maldris,科爾森·馬德瑞斯,人物,雄鷹騎士，探索者協會中自由尖兵勢力領袖
Combat,戰鬥,術語,
Combat Casting,戰鬥施法,專長,CRB
Combat Expertise,寓守於攻,專長,CRB
Combat Feat,戰鬥專長,術語,專長分類
Combat Maneuver,戰技,術語,
Combat Maneuver Bonus,戰技加值,術語,簡稱CMB
Combat Maneuver Defense,戰技防禦,術語,簡稱CMD
Combat Reflexes,戰鬥反射,術語,專長
Combat Style Feat,戰鬥流派專長,職業能力,
Combat Trick,戰鬥竅門,職業能力,
Combatant,參戰者,術語,
Come,靠近,術語,動物技巧
Command,命令術,法術,CRB
Command Plants,命令植物,法術,CRB
Command Undead,命令死靈,專長,CRB
Command Undead,命令死靈,法術,CRB
Command Word,命令詞,術語,
"Command, Greater",高等命令術,法術,CRB
Common,通用語,语言,格拉利昂的通用語是塔爾多語
Commoner,平民,NPC職業,CRB
Commune,通神術,法術,CRB
Commune with Nature,問道自然,法術,CRB
Community,團隊領域,術語,牧師領域
Community Domain,團隊領域,術語,牧師領域
compact,壓縮,術語,怪物能力
Company of Bakthatal,巴克塔爾傭兵團,組織,傭兵團
competence,表現,術語,加值類型
Component,成分,術語,法術成分
Composite Longbow,復合長弓,武器,CRB
Composite Shortbow,復合短弓,武器,CRB
Comprehend Languages,通曉語言,法術,CRB
Compression,壓縮,術語,通用怪物能力
Compulsion,脅迫,術語,子學派
Con,體質,術語,規則中的縮寫
con artist,詐騙高手,怪物,NPC志
Concealment,隱蔽,術語,造成失手幾率
Concentration,專注,術語,
Concentration Check,專注檢定,術語,
Concordance of Elements,元素均衡教派,組織,
Conditions,狀態,術語,CRB
Condottari,河衛,組織,切利亞斯
Condottari Marina,河衛碼頭,地點,西冠城
Cone,錐形,術語,法術範圍
Cone of Cold,寒冰錐,法術,CRB
Conerica River,科奈瑞嘉河,地點,依斯嘉
Configuration of Chains,鎖鏈構型,,
confirm,確認,術語,僅用於重擊
Confused,困惑,術語,狀態
Confusion,困惑術,法術,CRB
"Confusion, Lesser",次等困惑術,法術,CRB
Conjuration,咒法系,術語,
Conjuration School,咒法學派,職業能力,
Conjurer,咒法師,術語,專精咒法學派的法師
Conna Tuscaya,康娜·圖斯卡亞,人物,AP#108
Conqueror’s Bay,征服者灣,地點,奈多
Conquest Day,征服日,節日,耐克斯
Consecrate,祝聖術,法術,CRB
Conservatory,百花宮,建筑,大薩雷特島上的帝國密探培训基地
Constant,常駐,術語,怪物能力
constant motion,恆速運動,術語,怪物能力
Constitution,體質,術語,屬性值
Constitution modifier,體質調整值,術語,
Constrict,緊勒,術語,通用怪物能力
Construct,構裝體,術語,生物類型
Construct,構裝子域,術語,牧師領域
Construct Subdomain,構裝子域,術語,牧師領域
Construct Traits,構裝體特性,術語,通用怪物能力
Consul Marshal,元帥執政官,稱號,安多安陸軍的總司令
Contact Other Plane,異界聯絡,法術,CRB
Contagion,疫病術,法術,CRB
Contessa Lrilatha,勒瑞拉瑟女伯爵,人物,阿斯莫迪爾斯派來的欲魔
Contingency,觸發術,法術,CRB
Continual Flame,不滅明焰,法術,CRB
Contract Killer,契約殺手,怪物,NPC志
Contract of Citizenship,國民契約,物品,
control body,控制身軀,術語,怪物能力
Control Plants,操控植物,法術,CRB
Control Undead,操控死靈,法術,CRB
Control Water,操控水位,法術,CRB
Control Weather,操控天氣,法術,CRB
Control Winds,操控風象,法術,CRB
Convention,集會活動,術語,
Conviction,堅定信念,職業能力,
Cookbook of Arcane Augmentation,奧術強化食譜,裝備,
Cooking Powder,烹飪粉,物品,煉金物品
Cooperation,協作子域,術語,牧師領域
Cooperation Subdomain,協作子域,術語,牧師領域
Copper River,黃銅河,地點,芒吉莽原
Copperwood,銅木鎮,地點,
Copycat,複製幻象,領域能力,
Coralesian,寇爾利申,城市,五王山脈
Cordelon,寇德隆,城市,河域諸國
Core Deities,核心神祇,術語,術語
Core Races,核心種族,術語,
Core Rulebook,《核心規則書》,術語,簡稱CRB
Coren,柯倫,人物,第三探索軍團的將軍
Corentyn,柯倫汀,城市,切利亞斯的城市
Corgunbier,寇甘比爾,城市,幽暗之地
Cornucopias,饕餮盛宴,物品,
Corpse Orgy,屍體狂歡者,怪物,第三方
Corrector Izinio,校正官伊茲尼奧,人物,AP#105
Corrupting Touch,腐化之觸,術語,怪物能力
Corrupting Touch,腐化之觸,職業能力,
Corruption,腐敗,術語,城市屬性
Corvischior,寇維斯克爾,城市,烏斯塔拉夫
couatl,羽蛇,怪物,B1
Coultharic,庫瑟麗絲,怪物,契約魔
Coultharic’s Boudoir,庫瑟麗絲的閨房,地點,厄瑞波斯
council,地方議會,術語,城市屬性
council of elders,長老議會,組織,拉哈杜姆統治阶级，负责选举第一戒律監護者
Council of Enlightenment,啟迪議會,組織,十三名被選出輔助孟凱爾的代表組成
Council of Three and Nine,三九議會,組織,耐克斯的統治者
Count Beauturne,畢烏圖奈伯爵,稱號,
Count Caromarc,卡洛瑪克伯爵,稱號,
Count Neska,內斯卡伯爵,稱號,
Count Pavel,帕維爾伯爵,人物,陰冷邊區女公爵的配偶
Count Ranalc,萊諾克伯爵,神祇,古老者
Count Varian Jeggare,瓦里安·傑蓋爾伯爵,人物,切利亞斯
Countersong,破咒曲,職業能力,
Counterspell,反制法術,術語,
Countess Bozena,女伯爵波澤娜,人物,博索爾卡
Countess Ekaterina,女伯爵葉卡捷琳娜,人物,
Countess Grinnelise,女伯爵格林尼莉絲,人物,
Countess Marcelyna,女伯爵瑪瑟琳娜,人物,延薩
Countess Natalka Aelena,女伯爵納塔爾卡·阿萊娜,人物,盧多夫內
Coup de Grace,致命一擊,術語,CDG
Courage Heart,勇氣之心,神使,密拉妮
Court of Ether,蒼空之庭,城市,幽暗之地
Court of Hateful Smiles,恨意微笑王庭,稱號,猩猩大王的王庭
Court of Spears,眾矛之庭,地點,地獄復仇AP#103
Courtaud,寇塔德,城市,烏斯塔拉夫
Courtaud’s ruling council,寇塔德的統治議會,組織,裁决理事会
Courtesan,交際花,怪物,NPC志
Covenant Rock,盟約石,城市,貝爾克澤恩
cover,掩蔽,術語,
Covetous Aura,覬覦靈光,法術,
Cowering,畏縮,術語,狀態
cp,銅幣,術語,錢幣種類
Crab River,蟹河,地點,雨浸濕地
Crabfield Island,蟹田島,地點,蓋布
Craft,工藝,術語,技能
Craft Magic Arms and Armor,製造魔法武器與防具,專長,CRB
Craft Rod,製造權杖,專長,CRB
Craft Staff,製造法杖,專長,CRB
Craft Wand,製造魔杖,專長,CRB
Craft Wondrous Item,製造奇物,專長,CRB
Cragfire,岩火,地點,地獄傳送門
Crawl,匍匐,術語,
Crawling Spears,爬行尖矛,稱號,戴西亞德的稱號
create food and water,造糧術,法術,CRB
Create Greater Undead,喚起高等死靈,法術,CRB
Create Undead,喚起死靈,法術,CRB
Create Water,造水術,法術,CRB
Creater Gommand,高等命令術,法術,CRB
Creation,創造,術語,子學派
Creation`s Forge,造物工場,地點,正能量位面的別名
Creature,生物,術語,
Creeperwood,爬行者森林,地點,河域諸國
Creeping Doom,漫天蟲蝕,法術,CRB
Creeping Queen,爬蟲女王,稱號,瑪茨麥茲的稱號(帶The)
Crevasse Fields,冰隙荒野,地點,精怪之霜
Crime,犯罪,術語,城市屬性
Crimelord,黑幫頭目,稱號,謎語港
Crimson Citadel,猩紅要塞,城市,红螳螂总部
Crimson Worms,紅蟲,怪物,B1
Crippling Strike,致殘攻擊,職業能力,
Critical,重擊,術語,有時縮寫為crit
Critical Feat,重擊專長,術語,專長分類
Critical Focus,重擊專攻,專長,CRB
Critical Mastery,重擊熟稔,專長,CRB
Crocell,克羅賽爾,神祇,煉獄大公
Crocodile,鱷魚,動物,CRB
Crocodile King,鱷魚王,稱號,凱密特二世的稱號
Crone Queen,枯后,怪物,
Crooked House,怪屋,地點,白王座
Crop,穀物,術語,鈴花會的黑話；被護送的奴隸
Crop Guardian,穀物衛士,職業能力,鈴花阡陌客
Crossbows,弩,武器組,
Crossfen,克洛斯芬,城市,涅瑪薩斯
crosspine,十字松村,,
Crow’s Curse,烏鴉的詛咒,苦難,
Crowbane Tower,鴉災塔,地點,西冠城
crowds,人群,術語,CRB
Crown of Infernal Majesty,煉獄皇冠,物品,切利亞斯皇冠
Crown of the World,世界之冠,大陸,猛獁象大王之國相当於北极
Crown’s End,皇冠之界,城市,薩迦瓦
Crowtop,烏頂鎮,城市,伊利森
Crucible Hall,酷煉堂,,
Crucifixion Spirit,受難幽靈,怪物,
cruel instructor,殘忍導師,怪物,NPC志
Crusader,遠征軍,組織,對抗世界之傷惡魔的部隊
Crusader Queen Galfrey,遠征軍女王嘉爾菲,人物,蒙蒂維的统治者
Crusader War College,遠征軍戰爭學院,地點,終焉之牆
Crushing Despair,極度絕望,法術,CRB
Crushing Hand,粉碎掌,法術,CRB
Crux of Nex,耐克斯十字,地點,耐克斯自己的半位面
Crying Leaf,哭葉鎮,城市,烏斯塔拉夫
Crypt of Angus Amberleg,安古斯·琥珀腿之墓,地點,梅迪奧伽爾提島
Crystalhue,彩晶節,節日,莎琳
Crystalhurst,水晶樹林,地點,涅瑪薩斯
Crystilan,水晶城,地點,瓦瑞西亞
cult of Gyronna,吉羅娜教團,組織,黑巴爾
Cult of the Dawnflower,晨花教,組織,塞恩蕾
Cumo,裘摩,城市,港口城市，特里亞克薩斯
Cure Critical Wounds,治療致命傷,法術,
"Cure Critical Wounds, Mass",群體治療致命傷,法術,CRB
"Cure Critical Wounds, Mess",群體治療致命傷,法術,CRB
Cure Moderate Wounds,治療中傷,法術,CRB
"Cure Moderate Wounds, Mass",群體治療中傷,法術,CRB
Cure Serious Wounds,治療重傷,法術,CRB
"Cure Serious Wounds, Mass",群體治療重傷,法術,CRB
Currentseve,風水祭,節日,格茲雷
Curse,詛咒,術語,通用怪物能力
Curse,詛咒,術語,法術描述符
Curse,詛咒子域,術語,牧師領域
Curse of Lycanthropy,獸化詛咒,術語,通用怪物能力
Curse of the Winterthorn,冬棘詛咒,,
Curse Shepherds,詛咒牧人,組織,紮摩誄
Curse Subdomain,詛咒子域,術語,牧師領域
curse water,詛咒邪水,法術,CRB
Cursed Item,詛咒物品,術語,CRB
Cursed Lord,咒縛領主,,
Curtwyn Skape,柯特溫·斯卡普,人物,地獄復仇AP#103
"Curve blade, elven",精靈曲刃,武器,
Custodisce Break,離兵堤,地點,歐斯坦索
Cutthroat Lawyer,割喉律師,怪物,NPC志
Cuttle,魷魚鎮,城市,梅迪奧伽爾提島
cycads,蘇鐡,植物,托古斯植物
Cycle of Five,輪轉五道,組織,均衡教派領導層
